stu_id,name,semester_id,avg_grade,attendance_percentage,avg_score,assessment_count,prev_gpa,gpa_drop
66,Amanda Bailey,3,80.5,81.2,79.8,4,68.2,False
67,Victoria Thompson,1,77.5,80.0,76.6,4,0.0,False
67,Victoria Thompson,2,62.3,64.0,59.6,3,77.5,True
67,Victoria Thompson,3,71.0,63.3,71.8,3,62.3,False
68,Melissa Garrison,1,60.8,72.0,66.3,4,0.0,False
68,Melissa Garrison,2,67.5,83.5,70.2,4,60.8,False
68,Melissa Garrison,3,60.7,59.7,63.4,3,67.5,True
69,Patricia Hawkins,1,66.2,73.0,80.7,4,0.0,False
69,Patricia Hawkins,2,73.0,80.5,79.8,4,66.2,False
69,Patricia Hawkins,3,65.9,68.0,66.4,4,73.0,True
70,Joshua Bullock,1,61.3,85.3,76.4,3,0.0,False
70,Joshua Bullock,2,61.5,63.0,82.7,2,61.3,False
70,Joshua Bullock,3,84.5,73.0,74.8,2,61.5,False
71,Lucas Franklin,1,74.2,79.6,72.1,5,0.0,False
71,Lucas Franklin,2,76.8,81.0,74.5,4,74.2,False
71,Lucas Franklin,3,83.0,72.7,74.9,3,76.8,False
72,Amanda Nixon,1,68.8,73.0,74.3,3,0.0,False
72,Amanda Nixon,2,48.2,62.2,50.2,4,68.8,True
72,Amanda Nixon,3,58.8,66.0,66.5,5,48.2,False
73,Diana Taylor,1,67.0,69.7,69.8,3,0.0,False
73,Diana Taylor,2,66.7,64.0,67.3,3,67.0,True
73,Diana Taylor,3,66.9,81.5,68.7,4,66.7,False
74,Karen Taylor,1,69.3,74.0,71.6,3,0.0,False
74,Karen Taylor,2,84.2,80.0,72.3,5,69.3,False
74,Karen Taylor,3,67.0,63.5,77.8,2,84.2,True
75,Joseph Hudson,1,54.5,68.8,70.8,4,0.0,False
75,Joseph Hudson,2,77.8,74.8,67.1,4,54.5,False
75,Joseph Hudson,3,64.2,91.5,76.3,2,77.8,True
76,Kimberly Reynolds,1,63.0,69.0,56.8,2,0.0,False
76,Kimberly Reynolds,2,62.2,70.8,71.9,5,63.0,True
76,Kimberly Reynolds,3,44.5,48.0,56.3,2,62.2,True
77,Amanda Reynolds,1,61.5,65.0,55.2,2,0.0,False
77,Amanda Reynolds,2,78.0,85.8,77.2,4,61.5,False
77,Amanda Reynolds,3,80.0,76.7,70.4,3,78.0,False
78,Billy Vazquez,1,84.5,75.0,67.3,2,0.0,False
78,Billy Vazquez,2,75.7,76.3,75.8,3,84.5,True
78,Billy Vazquez,3,95.0,80.7,78.1,3,75.7,False
79,Dawn Arnold,1,81.8,74.2,62.9,5,0.0,False
79,Dawn Arnold,2,62.7,83.0,73.2,3,81.8,True
79,Dawn Arnold,3,62.8,72.0,74.7,4,62.7,False
80,Mike Smith,1,57.0,56.4,52.3,5,0.0,False
80,Mike Smith,2,84.8,79.8,81.1,4,57.0,False
80,Mike Smith,3,61.0,78.3,86.6,3,84.8,True
81,Allen Moore,1,72.8,77.5,76.5,4,0.0,False
81,Allen Moore,2,62.0,75.8,66.0,4,72.8,True
81,Allen Moore,3,83.7,83.3,80.9,3,62.0,False
82,Shawn Garcia,1,65.3,70.3,63.6,3,0.0,False
82,Shawn Garcia,2,51.2,73.0,61.0,4,65.3,True
82,Shawn Garcia,3,60.0,58.8,69.5,4,51.2,False
83,Mario Martin,1,80.5,72.2,82.2,4,0.0,False
83,Mario Martin,2,69.0,90.7,66.4,3,80.5,True
83,Mario Martin,3,74.8,71.0,77.5,4,69.0,False
84,Timothy Wallace,1,73.0,77.8,75.2,4,0.0,False
84,Timothy Wallace,2,71.6,72.0,70.1,5,73.0,True
84,Timothy Wallace,3,69.5,65.0,75.5,2,71.6,True
85,Maria Rodriguez,1,68.2,66.0,64.6,4,0.0,False
85,Maria Rodriguez,2,59.5,65.8,68.3,4,68.2,True
85,Maria Rodriguez,3,71.2,80.8,62.7,4,59.5,False
86,Stephanie Garcia,1,70.2,88.2,69.1,4,0.0,False
86,Stephanie Garcia,2,76.3,88.7,75.0,3,70.2,False
86,Stephanie Garcia,3,77.0,83.0,77.7,4,76.3,False
87,April Owens,1,70.5,80.0,53.7,2,0.0,False
87,April Owens,2,74.0,75.2,67.2,4,70.5,False
87,April Owens,3,76.8,88.0,72.8,4,74.0,False
88,Jessica Haas,1,77.7,80.7,71.1,3,0.0,False
88,Jessica Haas,2,45.5,63.0,50.0,2,77.7,True
88,Jessica Haas,3,76.8,81.5,78.2,4,45.5,False
89,Aaron Hardin,1,81.0,76.0,73.5,2,0.0,False
89,Aaron Hardin,2,72.0,90.3,68.6,3,81.0,True
89,Aaron Hardin,3,70.4,79.6,65.2,5,72.0,True
90,Miranda Glover,1,57.0,66.0,76.7,2,0.0,False
90,Miranda Glover,2,86.7,70.3,79.3,3,57.0,False
90,Miranda Glover,3,58.0,72.2,61.1,5,86.7,True
91,Kara Evans,1,69.2,76.8,67.7,4,0.0,False
91,Kara Evans,2,69.3,86.0,78.4,3,69.2,False
91,Kara Evans,3,83.2,69.5,75.3,2,69.3,False
92,Scott Myers,1,60.3,75.0,78.3,3,0.0,False
92,Scott Myers,2,34.0,46.5,38.8,2,60.3,True
92,Scott Myers,3,61.5,77.5,80.0,2,34.0,False
93,Ashley Johnson,1,92.2,84.2,73.0,4,0.0,False
93,Ashley Johnson,2,54.5,77.2,69.3,4,92.2,True
93,Ashley Johnson,3,64.8,80.5,78.0,4,54.5,False
94,Brandon Hill,1,82.0,83.8,74.8,4,0.0,False
94,Brandon Hill,2,52.5,70.7,61.9,3,82.0,True
94,Brandon Hill,3,59.5,79.8,60.7,4,52.5,False
95,Cindy Gibson,1,67.0,75.5,75.3,2,0.0,False
95,Cindy Gibson,2,64.4,70.0,61.1,5,67.0,True
95,Cindy Gibson,3,61.7,80.3,71.2,3,64.4,True
96,Tiffany Lawrence,1,58.7,86.3,68.2,3,0.0,False
96,Tiffany Lawrence,2,80.0,67.5,64.0,4,58.7,False
96,Tiffany Lawrence,3,62.3,66.3,63.2,3,80.0,True
97,Kelly Williams,1,83.7,86.0,73.6,3,0.0,False
97,Kelly Williams,2,57.0,70.6,67.1,5,83.7,True
97,Kelly Williams,3,79.3,85.0,84.4,3,57.0,False
98,John Griffin,1,63.7,60.7,55.2,3,0.0,False
98,John Griffin,2,70.8,71.0,69.5,5,63.7,False
98,John Griffin,3,64.5,81.8,80.2,4,70.8,True
99,Christine Chavez,1,65.3,76.7,72.2,3,0.0,False
99,Christine Chavez,2,90.5,79.0,65.5,2,65.3,False
99,Christine Chavez,3,51.2,63.0,54.4,5,90.5,True
100,Gina Martin,1,80.5,77.8,72.2,4,0.0,False
100,Gina Martin,2,70.0,81.0,69.0,2,80.5,True
100,Gina Martin,3,65.5,63.0,58.2,2,70.0,True
101,Matthew Morris,1,72.2,80.8,70.9,4,0.0,False
101,Matthew Morris,2,78.5,78.0,80.8,4,72.2,False
101,Matthew Morris,3,81.0,83.7,72.7,3,78.5,False
102,Brianna Ward,1,73.6,81.0,77.3,5,0.0,False
102,Brianna Ward,2,65.7,77.7,56.1,3,73.6,True
102,Brianna Ward,3,62.0,56.3,66.6,3,65.7,True
103,Dominique Rowe,1,58.8,64.5,58.6,2,0.0,False
103,Dominique Rowe,2,81.5,75.0,67.8,2,58.8,False
103,Dominique Rowe,3,85.0,72.3,69.0,3,81.5,False
104,Diana Torres,1,73.0,92.0,72.0,2,0.0,False
104,Diana Torres,2,65.2,85.0,79.7,5,73.0,True
104,Diana Torres,3,62.5,91.0,78.2,2,65.2,True
105,Terri Davis,1,62.0,74.0,87.9,4,0.0,False
105,Terri Davis,2,70.7,83.3,76.8,3,62.0,False
105,Terri Davis,3,67.7,63.3,65.1,3,70.7,True
106,Lisa Wood,1,87.0,77.2,78.8,4,0.0,False
106,Lisa Wood,2,74.5,83.5,72.8,4,87.0,True
106,Lisa Wood,3,78.8,84.2,74.2,4,74.5,False
107,Suzanne Adams,1,57.3,58.3,62.7,3,0.0,False
107,Suzanne Adams,2,67.3,83.3,81.9,3,57.3,False
107,Suzanne Adams,3,49.5,62.5,56.5,2,67.3,True
108,Barbara Smith,1,87.0,82.3,62.9,3,0.0,False
108,Barbara Smith,2,73.2,74.5,58.3,4,87.0,True
108,Barbara Smith,3,68.2,70.0,69.2,4,73.2,True
109,Seth Hamilton,1,68.4,73.0,73.2,5,0.0,False
109,Seth Hamilton,2,65.3,85.3,78.0,3,68.4,True
109,Seth Hamilton,3,74.3,82.7,73.1,3,65.3,False
110,Judy Gallagher,1,84.0,75.5,83.2,2,0.0,False
110,Judy Gallagher,2,63.5,86.0,68.6,2,84.0,True
110,Judy Gallagher,3,72.2,67.8,61.9,4,63.5,False
111,Robert Lopez,1,75.5,80.5,77.2,4,0.0,False
111,Robert Lopez,2,79.2,73.6,72.5,5,75.5,False
111,Robert Lopez,3,79.5,70.2,66.8,4,79.2,False
112,Andrea Simmons,1,51.8,65.0,58.4,4,0.0,False
112,Andrea Simmons,2,74.2,78.2,72.3,4,51.8,False
112,Andrea Simmons,3,68.0,74.2,72.9,4,74.2,True
113,Joel Hess,1,74.2,74.3,68.8,3,0.0,False
113,Joel Hess,2,57.5,74.8,69.0,4,74.2,True
113,Joel Hess,3,87.5,69.2,76.7,4,57.5,False
114,Anthony Kim,1,84.0,78.0,78.0,4,0.0,False
114,Anthony Kim,2,63.5,82.5,80.2,4,84.0,True
114,Anthony Kim,3,76.8,66.7,71.5,3,63.5,False
115,Travis Moore,1,47.0,63.3,58.6,3,0.0,False
115,Travis Moore,2,68.0,85.8,60.8,4,47.0,False
115,Travis Moore,3,55.0,78.3,54.3,3,68.0,True
116,John Austin,1,89.5,81.5,77.5,2,0.0,False
116,John Austin,2,85.3,66.3,75.3,3,89.5,True
116,John Austin,3,77.5,75.5,77.4,4,85.3,True
117,Ruth Cortez,1,76.3,85.7,75.1,3,0.0,False
117,Ruth Cortez,2,70.0,83.7,80.3,3,76.3,True
117,Ruth Cortez,3,81.0,83.2,70.0,4,70.0,False
118,Andrea Moore,1,47.5,63.0,61.5,4,0.0,False
118,Andrea Moore,2,53.2,68.0,67.3,4,47.5,False
118,Andrea Moore,3,76.3,75.3,64.0,3,53.2,False
119,Dr. Sarah Nguyen,1,63.0,70.3,58.0,3,0.0,False
119,Dr. Sarah Nguyen,2,71.6,85.8,73.8,5,63.0,False
119,Dr. Sarah Nguyen,3,61.5,72.5,77.3,2,71.6,True
120,Robert Lawrence,1,68.8,78.5,59.4,4,0.0,False
120,Robert Lawrence,2,53.0,73.0,49.0,2,68.8,True
120,Robert Lawrence,3,55.2,65.2,57.7,4,53.0,False
121,Elizabeth Turner,1,91.0,91.0,82.7,2,0.0,False
121,Elizabeth Turner,2,70.0,65.2,61.7,4,91.0,True
121,Elizabeth Turner,3,73.4,75.0,63.7,5,70.0,False
122,Heather Watson,1,85.0,65.0,78.2,2,0.0,False
122,Heather Watson,2,84.0,89.5,70.1,4,85.0,True
122,Heather Watson,3,73.8,82.5,83.3,4,84.0,True
123,Erica Dickerson,1,79.0,82.2,65.5,4,0.0,False
123,Erica Dickerson,2,72.5,90.5,79.8,4,79.0,True
123,Erica Dickerson,3,72.0,67.0,66.4,4,72.5,True
124,Katherine Terry,1,61.8,72.7,60.1,3,0.0,False
124,Katherine Terry,2,60.6,78.8,79.7,5,61.8,True
124,Katherine Terry,3,79.0,79.0,69.0,4,60.6,False
125,Patrick Ortiz,1,73.0,81.3,59.4,3,0.0,False
125,Patrick Ortiz,2,77.7,70.0,83.0,3,73.0,False
125,Patrick Ortiz,3,54.7,74.7,57.7,3,77.7,True
126,Christopher Moon,1,45.0,45.0,56.7,2,0.0,False
126,Christopher Moon,2,72.8,70.0,59.6,4,45.0,False
126,Christopher Moon,3,68.0,80.0,86.2,3,72.8,True
127,Joseph Wong,1,65.8,85.2,72.1,4,0.0,False
127,Joseph Wong,2,67.5,78.2,85.5,4,65.8,False
127,Joseph Wong,3,63.0,79.7,56.1,3,67.5,True
128,Jessica Chang,1,57.0,63.0,62.2,5,0.0,False
128,Jessica Chang,2,88.5,67.8,75.7,4,57.0,False
128,Jessica Chang,3,67.7,92.7,74.8,3,88.5,True
129,Teresa Perry,1,62.9,76.2,64.2,4,0.0,False
129,Teresa Perry,2,75.7,77.7,72.9,3,62.9,False
129,Teresa Perry,3,70.0,89.0,76.3,3,75.7,True
130,James Ali,1,63.8,78.5,64.8,4,0.0,False
130,James Ali,2,69.0,72.0,71.0,2,63.8,False
130,James Ali,3,73.7,92.0,69.7,3,69.0,False
131,Sarah Thompson,1,64.2,75.5,75.3,4,0.0,False
131,Sarah Thompson,2,83.0,76.0,74.0,2,64.2,False
131,Sarah Thompson,3,79.0,83.7,84.6,3,83.0,True
132,Steve Henry,1,70.5,88.0,79.1,4,0.0,False
132,Steve Henry,2,60.7,70.0,63.4,3,70.5,True
132,Steve Henry,3,67.6,77.6,76.6,5,60.7,False
133,Alex Delgado,1,60.0,55.5,53.0,2,0.0,False
133,Alex Delgado,2,87.0,79.8,70.5,4,60.0,False
133,Alex Delgado,3,76.8,81.0,69.8,4,87.0,True
134,David Pham,1,72.5,77.7,58.8,3,0.0,False
134,David Pham,2,78.0,85.0,72.2,4,72.5,False
134,David Pham,3,53.8,61.5,52.3,4,78.0,True
135,Dennis Davis,1,71.5,73.5,81.5,2,0.0,False
135,Dennis Davis,2,77.8,76.0,63.2,4,71.5,False
135,Dennis Davis,3,90.3,78.7,71.6,3,77.8,False
136,Angela Bowman,1,66.7,66.3,60.8,3,0.0,False
136,Angela Bowman,2,63.0,84.7,64.4,3,66.7,True
136,Angela Bowman,3,64.0,87.7,66.1,3,63.0,False
137,Tracy Harrison,1,79.0,65.0,77.4,3,0.0,False
137,Tracy Harrison,2,77.0,77.0,75.1,3,79.0,True
137,Tracy Harrison,3,88.8,80.0,74.8,2,77.0,False
138,Danielle Woods,1,67.2,82.5,65.5,4,0.0,False
138,Danielle Woods,2,70.2,83.2,73.9,5,67.2,False
138,Danielle Woods,3,59.7,67.7,62.3,3,70.2,True
139,Lawrence Ross,1,55.0,63.8,65.7,5,0.0,False
139,Lawrence Ross,2,82.7,70.3,74.9,3,55.0,False
139,Lawrence Ross,3,66.0,88.0,71.3,3,82.7,True
140,Miranda Allen MD,1,81.5,68.0,81.6,4,0.0,False
140,Miranda Allen MD,2,53.0,72.7,63.7,3,81.5,True
140,Miranda Allen MD,3,76.7,84.3,70.7,3,53.0,False
141,Laura Gregory,1,59.8,59.5,55.9,2,0.0,False
141,Laura Gregory,2,58.5,71.5,69.2,2,59.8,True
141,Laura Gregory,3,68.5,84.0,62.8,4,58.5,False
142,Donna Gibbs,1,75.0,82.0,74.8,3,0.0,False
142,Donna Gibbs,2,56.2,63.0,64.1,2,75.0,True
142,Donna Gibbs,3,74.5,67.8,65.0,4,56.2,False
143,Christopher Morgan,1,63.5,71.0,62.4,4,0.0,False
143,Christopher Morgan,2,70.5,86.8,77.9,4,63.5,False
143,Christopher Morgan,3,42.7,59.0,52.9,3,70.5,True
